abaza	value
Алалра (2)	А-ла-[л]-ра\nнеперех.\nзащищать кого, что-л.; принять чью-то сторону\nАкоммунист д-й-ы-ла-л-тI. Нышв, 308. Он защищал коммуниста (принял его сторону).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n86
Амалра	А-ма-[л]-ра\nнеперех.\nподойти к чему-л. (по размеру)\nАкIынхIара тшвачвапI, й-гь-а-ма-л-уашы-м. Ком., 4.IХ.1965. Отверстие слишком узкое, это к тому не подойдет.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n87
Амгвалра	А-мгва-[л]-ра\nнеперех.\nзавернуться во что-л. (залезть в живот)\nАчкIвын ахьта дащын ауапIа д-а-мгва-л-х-тI. Аб. Т. Парень, замерзнув, завернулся в бурку.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n88
(ГIа)нылра	(ГIа)-ны-[л]-ра\nнеперех.\nположить кого, что-л. на что-л.\nАмшIква хIуандыр чкIвынква й-гIа-р-ны-л-уан. А. тш., 70. Дрова ложились на наши маленькие повозки.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n89
Анылра	А-ны-[л]-ра\nнеперех.\nнаносить на что-л.\nСа суыса шIыцква ашвъабгъьы й-а-ны-л-уан. Ашахв, 31, Мои новые стихи наносились на бумагу.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n90
НапIыцIалра	НапIы-цIа-[л]-ра\nнеперех.\nвойти, положить в руку\nАкъальам унапIы  йгIанапIыцIалитI (й-гIа-а-напIы-цIа-л-итI). Сгвы, 20. Ты ручку взял (ручка вошла в твою руку). Сара й-гIа-с-напIы-цIа-л-тI. А. тш., 57. То вошло мне в руку.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n91
ПшцIалра	ПшцIа-[л]-ра\nнеперех.\nвойти во двор\nАхI йыпшцIа хI-пшцIа-л-тI. Нышв, 98. Мы вошли во двор князя.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n92
ПшIалра	П-шIа-[л]-ра\nнеперех.\nвстречать кого, что-л.\nПщырхIа мцырала й-гIа-у-п-шIа-лы-зтын уыззджвыквылуа гыгIаудахIвуашым. АПА, 115. Если тебя встретили с пустыми ведрами, то дело твое не сбудется. С-и-п-шIа-л-уа-штI райша абари сгвытшпыла, Ашахв, 43, Я пойду ему прямо навстречу.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n93
Апылра	А-пы-[л]-ра\nнеперех.\nвстречать кого, что-л.\nМухIамад йпа д-и-пы-лы-рныс дджвыквылтI. Садгьыл, 143. Мухамед отправился, чтобы встретить своего сына. Паса йлауцIауа паса й-гIа-у-пы-л-х-итI. АПА, 11. То, что ты рано посеешь, встретит тебя рано.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n94
Пыралра (1)	Пыра-[л]-ра\nнеперех.\nвстречать кого, что-л.\nТолистан дгвыргъьауа д-гIа-хI-пыра-л-тI. Нышев, 84. Толистан встретил нас приветливо.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n95
Пыралра (2)	Пыра-[л]-ра\nнеперех.\nстать поперек кому, чему-л.\nХIымгIва йгIапыралитI (й-гIа-а-пыра-л-итI) ауат. А. тш., 42. Они становятся поперек нашей дороге.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n96
ПыцIалра	Пы-цIа-[л]-ра\nнеперех.\nупасть (вперед)\nЙщапIква йыцIшвтын д-пы-цIа-л-тI. Аб. Т. Он, поскользнувшись, упал (вперед).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n97
Талра	Та-[л]-ра\nнеперех.\nвходить во что-л, спуститься, попасть куда-л.\nШIакI йтыцIуа шIашвкI йы-р-та-л-итI, АПА, 140. То, что выходит из одного рта, входит во сто ртов. Сатаныйа адзхъа д-та-л-тI Нарт, 52. Сатаныйа спустилась к реке,\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n98
(ГIа)талра	(ГIа)-та-[л]-ра\nнеперех.\nнаступать (о времени)\nАбарауи апшта ахвашауахъ гIаталитI (й-гIа-та-л-итI). А. тш., 43. Тик наступает ночь накануне пятницы. Апхын гIаталитI (й-гIа-та-л-итI). Йара, 21. Наступает лето.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n99
ТшгIвалра	ТшгIва-[л]-ра\nнеперех.\nвойти в очаг\nАсаби дгIашIарыс: атшгIва д-тшгIва-л-уаштI. Аб. Т. Остановите ребенка он войдет в огонь (очаг).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n100
ТшкIаралра	ТшкIара-[л]-ра\nнеперех.\nзайти, войти во двор\nБакь СакIвакIваргIа рыпшцIа д-тшкIара-л-х-тI. Муртат, 20. Бек зашел во двор Сакваквы.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n101
Тшпнылра	Тшпны-[л]-ра\nнеперех.\nподойти, подъехать (к берегу или огню)\nАтшанхча атенгьыз днатшпнылтI (д-на-тшпны-л-тI) акIвын хIнайхьыдзатI. Аб. Т. Как только табунщик подъехал к морю (к его берегу), мы его догнали.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n102
Тшыжвылра	Тшы-жвы-[л]-ра\nнеперех.\nсесть на коня\nХI-тшы-жвы-л-тI хIара, й-тшы-жвы-л-тI абаза тшьгIвква. А. т., 101. Мы сели на коней, сели на коней абазинские всадники.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n103
АуацIалра	А-уацIа-[л]-ра\nнеперех.\nотправляться в населенный пункт\nАпхъала анхарта дшгIахъынхIвыхуаз акыт д-а-уацIа-л-уан. Аб. Т. Раньше, как только возвращался с работы, он отправлялся в деревню.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n104
Хъалра	Хъа-[л]-ра\nнеперех.\nподниматься вверх на гору, возвышение\nАуарба хъалитI (й-хъа-л-итI). Иара, 10. Орел поднимается (вверх). Самайчуа асыртква сы-р-хъа-л-уа-штI. Т. БВ. Амара, 85. Я настойчиво буду подниматься (вверх) на плоскогорья.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n105
ГIахъалра	ГIа-хъа-[л]-ра\nнеперех.\nразозлиться, находить (злость)\nАри збаз ахШ й-гIа-й-хъа-л-тI. Абаза. т., 114. Князь, увидевший это, разозлился (на него нашло).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n106
Хъталра	Хъ-та-[л]-ра\nнеперех.\nнаходить (на человека беспокойство, озноб)\nАхьтадзыдзара гIалхъталын (й-гIа-л-хъ-та-лы-н) тшгъылзымкIхуазтI). Аб. Т. Она замерзала (на нее находил озноб), не могла совладать с собой.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n107
Хъылра (1)	Хъы-[л]-ра\nнеперех.\nнаходиться над водой, облаками (на плаву)\nАуат мадза-мадза кIьанджьала атенгьыз йхъылтI(й-й-хъы-л-тI). Нышв, 241. Они на лодке тайно отправились на море (на плаву).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n108
Хъылра (2)	Хъы-[л]-ра\nнеперех.\nпоявиться (о жидкости на глазу)\nСара зпны снашылуа щагъра гIахъылитI (й-гIа-а-хъы-л-итI) йыла. А. тш., 41. У того, к кому я захожу домой, на глазу появляется кровь.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n109
Хъвыла	Хъвы-[ла]-\nнеперех.\nсовладеть кем, чем-л.\nАлага абазар д-а-хъвы-ла-пI. АПА, 39. Дурак рассчитывает, что базар будет с ним делиться.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n110
Ацылра	А-цы-[л]-ра\nнеперех.\nнаходиться, быть вместе с кем, чем-л.\nХI-ры-цы-л-уа-н дара. А. тш., 12. Мы были с ними.\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n111
ЦкIлалра	Ц-кI-ла-[л]-ра\nнеперех.\nприставать к кому, чему-л. (сзади)\nАрцIыгъьта д-й-ы-ц-кI-ла-л-итI. Аб. Т. Он, как клещ, впивается в него (пристает сзади).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n112
АцIалра	А-цIа-[л]-ра\nнеперех.\nвойти, влезть снизу, понизу\nАхъыза д-ы-цIа-л-х-итI. Амакъымква, 39. Он лезет под одеяло. Али атехникум д-ы-цIа-л-тI. ДжькIахбаста, 68. Али поступил в техникум (вошел в него снизу).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n113
(ГIа)цIалра (1)	(ГIа)-цIа-[л]-ра\nнеперех.\nпоказаться (глазу), войти (в глаз)\nЙшвауа ацIла гIахIвуата йыла йгIацIалитI (й-гIа-а-цIа-л-итI). АПА, 103. Трусу дерево мерещится танцующим (дерево, танцуя, входит в глаз).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n114
(ГIа)цIалра (2)	(ГIа)-цIа-[л]-ра\nнеперех.\nрасти (о корнеплодах)\nАцыца йгIацIалтI (й-гIа-а-цIа-л-тI). Аб. Т. Появился редис (вырос снизу). АкIартIоф йгIацIалтI (й-гIа-а-цIа-л-тI). Аб. Т. Появился картофель (выросли клубни).\nПРЕВЕРБЫ+СУФФИКСОИД л\nКлычев, с. page\n115
